# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "--countReadPairs" "-t" "gene" "-g" "ID" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts_SRR35308234_pairs.txt" "results/alignment/SRR35308234.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308234.sorted.bam
gene-M8Y62_00455	CP097651.1	88383	88850	-	468	32
gene-M8Y62_00465	CP097651.1	89405	90778	-	1374	48
gene-M8Y62_00470	CP097651.1	90784	91959	-	1176	183
gene-M8Y62_00475	CP097651.1	92121	92215	-	95	774
gene-M8Y62_00480	CP097651.1	92508	93902	+	1395	13
gene-M8Y62_00485	CP097651.1	93915	96233	+	2319	78
gene-M8Y62_00490	CP097651.1	96389	97111	+	723	458
gene-M8Y62_00495	CP097651.1	97302	98681	-	1380	76
gene-M8Y62_00500	CP097651.1	98694	100253	-	1560	33
gene-M8Y62_00505	CP097651.1	100499	102214	-	1716	187
gene-M8Y62_00510	CP097651.1	102355	103746	-	1392	104
gene-M8Y62_00515	CP097651.1	104031	105233	+	1203	590
gene-M8Y62_00520	CP097651.1	105348	106859	-	1512	1192
gene-M8Y62_00525	CP097651.1	106881	107732	-	852	427
gene-M8Y62_00530	CP097651.1	108175	108420	+	246	1162
gene-M8Y62_00535	CP097651.1	108572	109561	+	990	202
gene-M8Y62_00540	CP097651.1	109724	110494	+	771	82
gene-M8Y62_00545	CP097651.1	110559	111863	+	1305	67
gene-M8Y62_00550	CP097651.1	111956	112723	-	768	4210
gene-M8Y62_00555	CP097651.1	112833	113435	-	603	214
gene-M8Y62_00560	CP097651.1	113548	113976	+	429	129
gene-M8Y62_00565	CP097651.1	113977	114723	-	747	361
gene-M8Y62_00570	CP097651.1	114874	115884	-	1011	359
gene-M8Y62_00575	CP097651.1	115933	118014	-	2082	1131
gene-M8Y62_00580	CP097651.1	118020	118709	-	690	373
gene-M8Y62_00585	CP097651.1	118714	120834	-	2121	2426
gene-M8Y62_00590	CP097651.1	120853	121128	-	276	1751
gene-M8Y62_00595	CP097651.1	121183	121806	-	624	3354
gene-M8Y62_00600	CP097651.1	122065	123741	+	1677	44
gene-M8Y62_00605	CP097651.1	123747	124364	-	618	78
gene-M8Y62_00610	CP097651.1	124640	125890	+	1251	120
gene-M8Y62_00615	CP097651.1	125946	127004	-	1059	49
gene-M8Y62_00620	CP097651.1	127007	127753	-	747	26
gene-M8Y62_00625	CP097651.1	127936	128799	-	864	786
gene-M8Y62_00630	CP097651.1	129300	131000	+	1701	6
gene-M8Y62_00635	CP097651.1	131038	131169	-	132	0
gene-M8Y62_00640	CP097651.1	131168	132055	+	888	4
gene-M8Y62_00645	CP097651.1	132048	132965	+	918	10
gene-M8Y62_00650	CP097651.1	132997	134091	+	1095	66
gene-M8Y62_00655	CP097651.1	134188	134904	+	717	995
gene-M8Y62_00660	CP097651.1	135015	135656	+	642	180
gene-M8Y62_00665	CP097651.1	135692	136708	-	1017	82
gene-M8Y62_00670	CP097651.1	136884	137480	-	597	96
gene-M8Y62_00675	CP097651.1	137605	138063	-	459	177
gene-M8Y62_00680	CP097651.1	138041	139255	-	1215	323
gene-M8Y62_00685	CP097651.1	139428	140093	+	666	1525
gene-M8Y62_00690	CP097651.1	140310	140546	+	237	9265
gene-M8Y62_00695	CP097651.1	140567	140734	+	168	932
gene-M8Y62_00700	CP097651.1	140870	141679	+	810	117
gene-M8Y62_00705	CP097651.1	141868	142347	-	480	267
gene-M8Y62_00710	CP097651.1	142344	143120	-	777	350
gene-M8Y62_00715	CP097651.1	143120	144394	-	1275	828
gene-M8Y62_00720	CP097651.1	144486	145475	-	990	522
gene-M8Y62_00725	CP097651.1	145505	146599	-	1095	254
gene-M8Y62_00730	CP097651.1	146602	147729	-	1128	297
gene-M8Y62_00735	CP097651.1	147726	148802	-	1077	401
gene-M8Y62_00740	CP097651.1	148914	149876	+	963	301
gene-M8Y62_00745	CP097651.1	149895	150974	+	1080	266
gene-M8Y62_00750	CP097651.1	151018	152187	-	1170	606
gene-M8Y62_00755	CP097651.1	152165	153073	-	909	444
gene-M8Y62_00760	CP097651.1	153073	154044	-	972	659
gene-M8Y62_00765	CP097651.1	154048	155106	-	1059	1269
gene-M8Y62_00770	CP097651.1	155116	156048	-	933	2797
gene-M8Y62_00775	CP097651.1	156262	157455	+	1194	907
gene-M8Y62_00780	CP097651.1	157468	158493	+	1026	1437
gene-M8Y62_00785	CP097651.1	158713	159450	+	738	245
gene-M8Y62_00790	CP097651.1	159456	160403	-	948	317
gene-M8Y62_00795	CP097651.1	160407	161678	-	1272	785
gene-M8Y62_00800	CP097651.1	161688	163232	-	1545	2451
gene-M8Y62_00805	CP097651.1	163478	163909	+	432	743
gene-M8Y62_00810	CP097651.1	164014	164265	+	252	398
gene-M8Y62_00815	CP097651.1	164326	164793	+	468	1204
gene-M8Y62_00820	CP097651.1	164793	165812	+	1020	486
gene-M8Y62_00825	CP097651.1	165886	166707	+	822	396
gene-M8Y62_00830	CP097651.1	166789	167262	-	474	170
gene-M8Y62_00835	CP097651.1	167355	168539	-	1185	230
gene-M8Y62_00840	CP097651.1	168539	169312	-	774	78
gene-M8Y62_00845	CP097651.1	169309	170964	-	1656	355
gene-M8Y62_00850	CP097651.1	171250	171612	-	363	3038
gene-M8Y62_00855	CP097651.1	171885	172109	+	225	84
gene-M8Y62_00860	CP097651.1	172098	172694	-	597	221
gene-M8Y62_00865	CP097651.1	172694	173842	-	1149	794
gene-M8Y62_00870	CP097651.1	173943	175850	-	1908	595
gene-M8Y62_00875	CP097651.1	176429	176572	+	144	24
gene-M8Y62_00885	CP097651.1	176818	177426	+	609	151
gene-M8Y62_00890	CP097651.1	177532	178920	+	1389	1989
gene-M8Y62_00895	CP097651.1	178917	180758	+	1842	1664
gene-M8Y62_00905	CP097651.1	181003	181488	+	486	323
gene-M8Y62_00910	CP097651.1	181531	182787	-	1257	372
gene-M8Y62_00915	CP097651.1	182958	184991	-	2034	587
gene-M8Y62_00920	CP097651.1	185306	186124	+	819	1789
gene-M8Y62_00925	CP097651.1	186163	187341	-	1179	303
gene-M8Y62_00935	CP097651.1	188733	190274	-	1542	45
gene-M8Y62_00940	CP097651.1	190339	191334	-	996	27
gene-M8Y62_00945	CP097651.1	191840	193162	+	1323	242
gene-M8Y62_00950	CP097651.1	193255	194709	+	1455	125
gene-M8Y62_00955	CP097651.1	194878	195249	+	372	32
gene-M8Y62_00960	CP097651.1	195281	195727	+	447	28
gene-M8Y62_00965	CP097651.1	195754	196749	-	996	68
gene-M8Y62_00970	CP097651.1	196929	197228	+	300	276
gene-M8Y62_00975	CP097651.1	197356	198267	+	912	1198
gene-M8Y62_00980	CP097651.1	198277	200346	+	2070	1994
gene-M8Y62_00985	CP097651.1	200673	200825	+	153	110
gene-M8Y62_00990	CP097651.1	201126	202745	+	1620	857
gene-M8Y62_00995	CP097651.1	202843	203055	-	213	113273
gene-M8Y62_01000	CP097651.1	203308	203598	-	291	1536
gene-M8Y62_01005	CP097651.1	203844	205199	-	1356	127
gene-M8Y62_01010	CP097651.1	205640	206350	+	711	1638
gene-M8Y62_01015	CP097651.1	206459	207430	-	972	695
gene-M8Y62_01020	CP097651.1	207455	208735	-	1281	957
gene-M8Y62_01025	CP097651.1	208840	209775	-	936	616
gene-M8Y62_01030	CP097651.1	209779	210528	-	750	231
gene-M8Y62_01035	CP097651.1	210640	211656	-	1017	135
gene-M8Y62_01040	CP097651.1	211760	212422	-	663	196
gene-M8Y62_01045	CP097651.1	212590	214920	+	2331	397
gene-M8Y62_01050	CP097651.1	214889	215329	-	441	66
gene-M8Y62_01055	CP097651.1	215307	215888	-	582	191
gene-M8Y62_01060	CP097651.1	216094	216675	+	582	167
gene-M8Y62_01065	CP097651.1	216917	218122	+	1206	94
gene-M8Y62_01070	CP097651.1	218365	220038	+	1674	2181
gene-M8Y62_01075	CP097651.1	220230	221624	+	1395	308
gene-M8Y62_01080	CP097651.1	221744	221820	+	77	44
gene-M8Y62_01090	CP097651.1	223983	225590	+	1608	2595
gene-M8Y62_01095	CP097651.1	225725	226744	+	1020	282
gene-M8Y62_01100	CP097651.1	226754	227656	+	903	255
gene-M8Y62_01105	CP097651.1	227667	228650	+	984	600
gene-M8Y62_01110	CP097651.1	228647	229660	+	1014	532
gene-M8Y62_01115	CP097651.1	229679	229858	+	180	9
gene-M8Y62_01120	CP097651.1	230176	230715	+	540	174
gene-M8Y62_01130	CP097651.1	231529	233640	+	2112	495
gene-M8Y62_01135	CP097651.1	233637	236072	+	2436	498
gene-M8Y62_01140	CP097651.1	236069	240121	+	4053	708
gene-M8Y62_01145	CP097651.1	240121	240597	+	477	115
gene-M8Y62_01150	CP097651.1	240609	241610	+	1002	383
gene-M8Y62_01155	CP097651.1	241718	243397	-	1680	479
gene-M8Y62_01160	CP097651.1	243394	243591	-	198	15
gene-M8Y62_01165	CP097651.1	243591	245144	-	1554	365
gene-M8Y62_01170	CP097651.1	245313	245501	+	189	82
gene-M8Y62_01175	CP097651.1	245513	246244	+	732	304
gene-M8Y62_01180	CP097651.1	246241	248859	+	2619	1392
gene-M8Y62_01185	CP097651.1	248870	251215	+	2346	1726
gene-M8Y62_01190	CP097651.1	251219	252328	+	1110	917
gene-M8Y62_01195	CP097651.1	252310	255789	+	3480	2469
gene-M8Y62_01200	CP097651.1	256032	258038	+	2007	727
gene-M8Y62_01205	CP097651.1	258195	259481	+	1287	1163
gene-M8Y62_01210	CP097651.1	259701	261203	+	1503	1722
gene-M8Y62_01215	CP097651.1	261258	262187	-	930	225
gene-M8Y62_01220	CP097651.1	262382	264433	+	2052	280
gene-M8Y62_01225	CP097651.1	264471	265793	-	1323	188
gene-M8Y62_01230	CP097651.1	266065	267096	-	1032	486
gene-M8Y62_01235	CP097651.1	267203	268102	-	900	113
gene-M8Y62_01240	CP097651.1	268222	268980	+	759	38
gene-M8Y62_01245	CP097651.1	269015	269548	-	534	58
gene-M8Y62_01250	CP097651.1	269615	271267	-	1653	375
gene-M8Y62_01255	CP097651.1	271507	272655	-	1149	145
gene-M8Y62_01260	CP097651.1	272782	273405	+	624	112
gene-M8Y62_01265	CP097651.1	273459	274811	-	1353	2293
gene-M8Y62_01270	CP097651.1	274884	275726	-	843	858
gene-M8Y62_01275	CP097651.1	275920	277191	+	1272	40
gene-M8Y62_01280	CP097651.1	277374	279416	+	2043	1489
gene-M8Y62_01285	CP097651.1	279424	280176	+	753	231
gene-M8Y62_01290	CP097651.1	280304	281752	-	1449	1290
gene-M8Y62_01295	CP097651.1	282033	282470	-	438	12720
gene-M8Y62_01300	CP097651.1	282853	283188	+	336	470
gene-M8Y62_01305	CP097651.1	283244	284740	-	1497	1284
gene-M8Y62_01310	CP097651.1	284970	286163	+	1194	600
gene-M8Y62_01315	CP097651.1	286203	287216	-	1014	228
gene-M8Y62_01320	CP097651.1	287623	287982	+	360	99
gene-M8Y62_01325	CP097651.1	288010	288411	-	402	111
gene-M8Y62_01330	CP097651.1	288399	289190	-	792	240
gene-M8Y62_01335	CP097651.1	289187	289951	-	765	521
gene-M8Y62_01340	CP097651.1	289951	290784	-	834	553
gene-M8Y62_01345	CP097651.1	290781	291725	-	945	350
gene-M8Y62_01350	CP097651.1	291725	293293	-	1569	906
gene-M8Y62_01355	CP097651.1	293432	294292	-	861	93
gene-M8Y62_01360	CP097651.1	294390	294896	+	507	180
gene-M8Y62_01365	CP097651.1	295293	296432	+	1140	261
gene-M8Y62_01370	CP097651.1	296434	297417	+	984	169
gene-M8Y62_01375	CP097651.1	297414	299399	+	1986	354
gene-M8Y62_01380	CP097651.1	299396	300298	+	903	103
gene-M8Y62_01385	CP097651.1	300298	301953	+	1656	511
gene-M8Y62_01390	CP097651.1	301950	302288	+	339	40
gene-M8Y62_01395	CP097651.1	302288	302668	+	381	43
gene-M8Y62_01400	CP097651.1	302665	303714	-	1050	97
gene-M8Y62_01405	CP097651.1	303848	305068	+	1221	344
gene-M8Y62_01410	CP097651.1	305069	305626	-	558	3031
gene-M8Y62_01415	CP097651.1	305700	306365	-	666	93
gene-M8Y62_01420	CP097651.1	306572	306817	+	246	150
gene-M8Y62_01425	CP097651.1	306921	309131	-	2211	856
gene-M8Y62_01430	CP097651.1	309210	309836	-	627	414
gene-M8Y62_01435	CP097651.1	309987	310337	+	351	243
gene-M8Y62_01440	CP097651.1	310351	310626	-	276	186
gene-M8Y62_01445	CP097651.1	310616	311212	-	597	507
gene-M8Y62_01450	CP097651.1	311395	312918	+	1524	6996
gene-M8Y62_01455	CP097651.1	312921	313589	+	669	1286
gene-M8Y62_01460	CP097651.1	313582	314637	+	1056	1542
gene-M8Y62_01465	CP097651.1	314907	315761	+	855	20631
gene-M8Y62_01470	CP097651.1	315814	317337	-	1524	383
gene-M8Y62_01475	CP097651.1	317456	318721	+	1266	43
gene-M8Y62_01480	CP097651.1	318869	320113	+	1245	57
gene-M8Y62_01485	CP097651.1	320371	321474	+	1104	179
gene-M8Y62_01490	CP097651.1	321867	322250	-	384	70
gene-M8Y62_01495	CP097651.1	322674	323783	+	1110	36
gene-M8Y62_01500	CP097651.1	323845	324771	+	927	12
gene-M8Y62_01505	CP097651.1	324768	326045	+	1278	18
gene-M8Y62_01510	CP097651.1	326042	326809	+	768	15
gene-M8Y62_01515	CP097651.1	326811	327524	+	714	12
gene-M8Y62_01520	CP097651.1	327688	327909	+	222	16
gene-M8Y62_01525	CP097651.1	327906	328274	+	369	23
gene-M8Y62_01530	CP097651.1	328547	329863	+	1317	67
gene-M8Y62_01535	CP097651.1	329970	330857	+	888	18
gene-M8Y62_01540	CP097651.1	330854	331699	+	846	5
gene-M8Y62_01545	CP097651.1	331701	332771	+	1071	59
gene-M8Y62_01550	CP097651.1	332768	333508	+	741	176
gene-M8Y62_01555	CP097651.1	333532	333852	-	321	794
gene-M8Y62_01560	CP097651.1	333976	335721	+	1746	384
gene-M8Y62_01565	CP097651.1	335811	336299	-	489	132
gene-M8Y62_01570	CP097651.1	336527	337180	-	654	40
gene-M8Y62_01575	CP097651.1	337445	338482	+	1038	420
gene-M8Y62_01580	CP097651.1	338604	339299	+	696	198
gene-M8Y62_01585	CP097651.1	339413	340408	+	996	1424
gene-M8Y62_01590	CP097651.1	340589	341119	+	531	165
gene-M8Y62_01595	CP097651.1	341119	342459	+	1341	371
gene-M8Y62_01600	CP097651.1	342456	342818	-	363	21
gene-M8Y62_01605	CP097651.1	342922	344028	+	1107	888
gene-M8Y62_01610	CP097651.1	344267	346453	+	2187	2914
gene-M8Y62_01615	CP097651.1	346450	348426	+	1977	3064
gene-M8Y62_01620	CP097651.1	348507	349802	+	1296	3985
gene-M8Y62_01625	CP097651.1	349802	351235	+	1434	3228
gene-M8Y62_01630	CP097651.1	351253	353700	+	2448	3823
gene-M8Y62_01635	CP097651.1	353790	355298	-	1509	495
gene-M8Y62_01640	CP097651.1	355503	355832	+	330	243
gene-M8Y62_01645	CP097651.1	355883	356713	+	831	225
gene-M8Y62_01650	CP097651.1	356763	357521	+	759	292
gene-M8Y62_01655	CP097651.1	357537	360242	-	2706	2347
gene-M8Y62_01660	CP097651.1	360867	363257	+	2391	5352
gene-M8Y62_01665	CP097651.1	363268	365361	+	2094	5138
gene-M8Y62_01670	CP097651.1	365464	366780	-	1317	166
gene-M8Y62_01675	CP097651.1	367117	367692	-	576	753
gene-M8Y62_01680	CP097651.1	367751	368425	-	675	50
gene-M8Y62_01685	CP097651.1	368464	369237	+	774	94
gene-M8Y62_01690	CP097651.1	369358	369627	+	270	834
gene-M8Y62_01695	CP097651.1	369716	369955	-	240	221
gene-M8Y62_01700	CP097651.1	369965	372283	-	2319	1040
gene-M8Y62_01705	CP097651.1	372312	372539	-	228	245
gene-M8Y62_01710	CP097651.1	372951	375281	-	2331	1083
gene-M8Y62_01715	CP097651.1	375382	375855	-	474	162
gene-M8Y62_01720	CP097651.1	376083	376802	+	720	713
gene-M8Y62_01725	CP097651.1	376799	378154	+	1356	591
gene-M8Y62_01730	CP097651.1	378232	379854	-	1623	5441
gene-M8Y62_01735	CP097651.1	380215	381099	-	885	493
gene-M8Y62_01740	CP097651.1	381118	381519	-	402	295
gene-M8Y62_01745	CP097651.1	381516	382199	-	684	447
gene-M8Y62_01750	CP097651.1	382260	384389	-	2130	1227
gene-M8Y62_01755	CP097651.1	384710	385270	+	561	761
gene-M8Y62_01760	CP097651.1	385324	387888	-	2565	841
gene-M8Y62_01765	CP097651.1	388007	388807	+	801	148
gene-M8Y62_01770	CP097651.1	388791	389324	+	534	22
gene-M8Y62_01775	CP097651.1	389314	389742	+	429	27
gene-M8Y62_01780	CP097651.1	389732	390115	+	384	30
gene-M8Y62_01785	CP097651.1	390048	391292	+	1245	152
gene-M8Y62_01790	CP097651.1	391563	392084	+	522	3180
gene-M8Y62_01795	CP097651.1	392140	393234	+	1095	2231
gene-M8Y62_01800	CP097651.1	393319	394605	+	1287	2570
gene-M8Y62_01805	CP097651.1	394684	395511	+	828	626
gene-M8Y62_01810	CP097651.1	395529	396206	+	678	748
gene-M8Y62_01815	CP097651.1	396199	396960	+	762	590
gene-M8Y62_01820	CP097651.1	396953	397957	+	1005	1374
gene-M8Y62_01825	CP097651.1	398030	399403	-	1374	551
gene-M8Y62_01830	CP097651.1	399557	399883	-	327	41
gene-M8Y62_01835	CP097651.1	399880	402423	-	2544	210
gene-M8Y62_01840	CP097651.1	402662	403984	+	1323	131
gene-M8Y62_01845	CP097651.1	403981	405168	-	1188	198
gene-M8Y62_01850	CP097651.1	405445	406014	+	570	1671
gene-M8Y62_01855	CP097651.1	406121	406288	+	168	59
gene-M8Y62_01860	CP097651.1	406278	406880	+	603	149
gene-M8Y62_01865	CP097651.1	406913	407476	+	564	68
gene-M8Y62_01870	CP097651.1	407567	408787	+	1221	194
gene-M8Y62_01875	CP097651.1	408777	410855	-	2079	357
gene-M8Y62_01880	CP097651.1	410907	411539	-	633	9597
gene-M8Y62_01885	CP097651.1	411846	412250	+	405	1082
gene-M8Y62_01890	CP097651.1	412305	413174	-	870	481
gene-M8Y62_01895	CP097651.1	413211	413429	-	219	60
gene-M8Y62_01900	CP097651.1	413426	414385	-	960	357
gene-M8Y62_01905	CP097651.1	414652	416556	-	1905	439
gene-M8Y62_01910	CP097651.1	416730	417293	+	564	1434
gene-M8Y62_01915	CP097651.1	417280	419085	+	1806	1043
gene-M8Y62_01920	CP097651.1	419097	419297	+	201	242
gene-M8Y62_01925	CP097651.1	419391	419978	+	588	8309
gene-M8Y62_01930	CP097651.1	420037	420255	-	219	59
gene-M8Y62_01935	CP097651.1	420478	421308	+	831	10970
gene-M8Y62_01940	CP097651.1	421477	422199	+	723	737
gene-M8Y62_01945	CP097651.1	422199	422585	+	387	114
gene-M8Y62_01950	CP097651.1	422585	422944	+	360	92
gene-M8Y62_01955	CP097651.1	422952	423239	+	288	357
gene-M8Y62_01960	CP097651.1	423364	423738	+	375	4000
gene-M8Y62_01965	CP097651.1	423835	424305	+	471	4814
gene-M8Y62_01970	CP097651.1	424402	426516	+	2115	26227
gene-M8Y62_01975	CP097651.1	426586	427770	+	1185	31254
gene-M8Y62_01980	CP097651.1	427951	428145	+	195	59
gene-M8Y62_01985	CP097651.1	428219	428695	+	477	473
gene-M8Y62_01990	CP097651.1	428679	429164	-	486	323
gene-M8Y62_01995	CP097651.1	429548	429859	+	312	5463
gene-M8Y62_02000	CP097651.1	429892	430521	+	630	6057
gene-M8Y62_02005	CP097651.1	430532	431137	+	606	5544
gene-M8Y62_02010	CP097651.1	431134	431436	+	303	3386
gene-M8Y62_02015	CP097651.1	431454	432275	+	822	6251
gene-M8Y62_02020	CP097651.1	432292	432570	+	279	4149
gene-M8Y62_02025	CP097651.1	432585	432917	+	333	3856
gene-M8Y62_02030	CP097651.1	432935	433633	+	699	5489
gene-M8Y62_02035	CP097651.1	433646	434056	+	411	5174
gene-M8Y62_02040	CP097651.1	434056	434247	+	192	2967
gene-M8Y62_02045	CP097651.1	434247	434501	+	255	1269
gene-M8Y62_02050	CP097651.1	434667	435038	+	372	8193
gene-M8Y62_02055	CP097651.1	435049	435363	+	315	6790
gene-M8Y62_02060	CP097651.1	435378	435917	+	540	6176
gene-M8Y62_02065	CP097651.1	435932	436237	+	306	7829
gene-M8Y62_02070	CP097651.1	436271	436663	+	393	9161
gene-M8Y62_02075	CP097651.1	436676	437209	+	534	10391
gene-M8Y62_02080	CP097651.1	437219	437572	+	354	4229
gene-M8Y62_02085	CP097651.1	437587	438090	+	504	10500
gene-M8Y62_02090	CP097651.1	438094	438273	+	180	1594
gene-M8Y62_02095	CP097651.1	438277	438711	+	435	21960
gene-M8Y62_02100	CP097651.1	438719	440050	+	1332	36940
gene-M8Y62_02105	CP097651.1	440084	440200	+	117	3439
gene-M8Y62_02110	CP097651.1	440347	440703	+	357	4261
gene-M8Y62_02115	CP097651.1	440720	441109	+	390	8914
gene-M8Y62_02120	CP097651.1	441143	441763	+	621	14269
gene-M8Y62_02125	CP097651.1	441789	442778	+	990	23748
gene-M8Y62_02130	CP097651.1	442819	443205	+	387	6972
gene-M8Y62_02135	CP097651.1	443314	443682	+	369	581
gene-M8Y62_02140	CP097651.1	443685	444110	+	426	257
gene-M8Y62_02145	CP097651.1	444168	444446	+	279	14
gene-M8Y62_02150	CP097651.1	444382	444795	-	414	856
gene-M8Y62_02155	CP097651.1	444936	446312	-	1377	1262
gene-M8Y62_02160	CP097651.1	446326	447621	-	1296	1248
gene-M8Y62_02165	CP097651.1	447674	448621	-	948	1786
gene-M8Y62_02170	CP097651.1	448636	449145	-	510	3458
gene-M8Y62_02175	CP097651.1	449274	450398	+	1125	376
gene-M8Y62_02180	CP097651.1	450370	450843	+	474	5696
gene-M8Y62_02185	CP097651.1	450870	451412	+	543	2084
