# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-t" "gene" "-g" "ID" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts_SRR35308233.txt" "results/alignment/SRR35308233.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308233.sorted.bam
gene-M8Y62_00405	CP097651.1	79610	80515	+	906	137
gene-M8Y62_00410	CP097651.1	80644	81453	+	810	205
gene-M8Y62_00415	CP097651.1	81478	82332	+	855	74
gene-M8Y62_00420	CP097651.1	82322	82882	-	561	77
gene-M8Y62_00425	CP097651.1	83048	83827	+	780	56
gene-M8Y62_00430	CP097651.1	83849	84802	+	954	110
gene-M8Y62_00435	CP097651.1	84799	85848	-	1050	100
gene-M8Y62_00440	CP097651.1	86221	86919	+	699	30
gene-M8Y62_00445	CP097651.1	86971	87261	-	291	6
gene-M8Y62_00450	CP097651.1	87263	88270	-	1008	46
gene-M8Y62_00455	CP097651.1	88383	88850	-	468	43
gene-M8Y62_00465	CP097651.1	89405	90778	-	1374	89
gene-M8Y62_00470	CP097651.1	90784	91959	-	1176	343
gene-M8Y62_00475	CP097651.1	92121	92215	-	95	1407
gene-M8Y62_00480	CP097651.1	92508	93902	+	1395	30
gene-M8Y62_00485	CP097651.1	93915	96233	+	2319	184
gene-M8Y62_00490	CP097651.1	96389	97111	+	723	943
gene-M8Y62_00495	CP097651.1	97302	98681	-	1380	137
gene-M8Y62_00500	CP097651.1	98694	100253	-	1560	95
gene-M8Y62_00505	CP097651.1	100499	102214	-	1716	341
gene-M8Y62_00510	CP097651.1	102355	103746	-	1392	167
gene-M8Y62_00515	CP097651.1	104031	105233	+	1203	1223
gene-M8Y62_00520	CP097651.1	105348	106859	-	1512	2527
gene-M8Y62_00525	CP097651.1	106881	107732	-	852	1210
gene-M8Y62_00530	CP097651.1	108175	108420	+	246	2136
gene-M8Y62_00535	CP097651.1	108572	109561	+	990	373
gene-M8Y62_00540	CP097651.1	109724	110494	+	771	174
gene-M8Y62_00545	CP097651.1	110559	111863	+	1305	127
gene-M8Y62_00550	CP097651.1	111956	112723	-	768	6333
gene-M8Y62_00555	CP097651.1	112833	113435	-	603	349
gene-M8Y62_00560	CP097651.1	113548	113976	+	429	242
gene-M8Y62_00565	CP097651.1	113977	114723	-	747	693
gene-M8Y62_00570	CP097651.1	114874	115884	-	1011	570
gene-M8Y62_00575	CP097651.1	115933	118014	-	2082	1997
gene-M8Y62_00580	CP097651.1	118020	118709	-	690	612
gene-M8Y62_00585	CP097651.1	118714	120834	-	2121	4145
gene-M8Y62_00590	CP097651.1	120853	121128	-	276	2793
gene-M8Y62_00595	CP097651.1	121183	121806	-	624	6262
gene-M8Y62_00600	CP097651.1	122065	123741	+	1677	77
gene-M8Y62_00605	CP097651.1	123747	124364	-	618	142
gene-M8Y62_00610	CP097651.1	124640	125890	+	1251	245
gene-M8Y62_00615	CP097651.1	125946	127004	-	1059	107
gene-M8Y62_00620	CP097651.1	127007	127753	-	747	50
gene-M8Y62_00625	CP097651.1	127936	128799	-	864	1225
gene-M8Y62_00630	CP097651.1	129300	131000	+	1701	18
gene-M8Y62_00635	CP097651.1	131038	131169	-	132	1
gene-M8Y62_00640	CP097651.1	131168	132055	+	888	19
gene-M8Y62_00645	CP097651.1	132048	132965	+	918	16
gene-M8Y62_00650	CP097651.1	132997	134091	+	1095	103
gene-M8Y62_00655	CP097651.1	134188	134904	+	717	1584
gene-M8Y62_00660	CP097651.1	135015	135656	+	642	296
gene-M8Y62_00665	CP097651.1	135692	136708	-	1017	152
gene-M8Y62_00670	CP097651.1	136884	137480	-	597	143
gene-M8Y62_00675	CP097651.1	137605	138063	-	459	281
gene-M8Y62_00680	CP097651.1	138041	139255	-	1215	556
gene-M8Y62_00685	CP097651.1	139428	140093	+	666	2747
gene-M8Y62_00690	CP097651.1	140310	140546	+	237	15459
gene-M8Y62_00695	CP097651.1	140567	140734	+	168	2174
gene-M8Y62_00700	CP097651.1	140870	141679	+	810	184
gene-M8Y62_00705	CP097651.1	141868	142347	-	480	413
gene-M8Y62_00710	CP097651.1	142344	143120	-	777	587
gene-M8Y62_00715	CP097651.1	143120	144394	-	1275	1467
gene-M8Y62_00720	CP097651.1	144486	145475	-	990	888
gene-M8Y62_00725	CP097651.1	145505	146599	-	1095	451
gene-M8Y62_00730	CP097651.1	146602	147729	-	1128	432
gene-M8Y62_00735	CP097651.1	147726	148802	-	1077	669
gene-M8Y62_00740	CP097651.1	148914	149876	+	963	545
gene-M8Y62_00745	CP097651.1	149895	150974	+	1080	405
gene-M8Y62_00750	CP097651.1	151018	152187	-	1170	1033
gene-M8Y62_00755	CP097651.1	152165	153073	-	909	725
gene-M8Y62_00760	CP097651.1	153073	154044	-	972	952
gene-M8Y62_00765	CP097651.1	154048	155106	-	1059	1762
gene-M8Y62_00770	CP097651.1	155116	156048	-	933	4815
gene-M8Y62_00775	CP097651.1	156262	157455	+	1194	1426
gene-M8Y62_00780	CP097651.1	157468	158493	+	1026	2045
gene-M8Y62_00785	CP097651.1	158713	159450	+	738	429
gene-M8Y62_00790	CP097651.1	159456	160403	-	948	446
gene-M8Y62_00795	CP097651.1	160407	161678	-	1272	1249
gene-M8Y62_00800	CP097651.1	161688	163232	-	1545	2955
gene-M8Y62_00805	CP097651.1	163478	163909	+	432	1287
gene-M8Y62_00810	CP097651.1	164014	164265	+	252	702
gene-M8Y62_00815	CP097651.1	164326	164793	+	468	1885
gene-M8Y62_00820	CP097651.1	164793	165812	+	1020	842
gene-M8Y62_00825	CP097651.1	165886	166707	+	822	725
gene-M8Y62_00830	CP097651.1	166789	167262	-	474	256
gene-M8Y62_00835	CP097651.1	167355	168539	-	1185	449
gene-M8Y62_00840	CP097651.1	168539	169312	-	774	125
gene-M8Y62_00845	CP097651.1	169309	170964	-	1656	846
gene-M8Y62_00850	CP097651.1	171250	171612	-	363	5562
gene-M8Y62_00855	CP097651.1	171885	172109	+	225	117
gene-M8Y62_00860	CP097651.1	172098	172694	-	597	335
gene-M8Y62_00865	CP097651.1	172694	173842	-	1149	1298
gene-M8Y62_00870	CP097651.1	173943	175850	-	1908	1076
gene-M8Y62_00875	CP097651.1	176429	176572	+	144	38
gene-M8Y62_00885	CP097651.1	176818	177426	+	609	299
gene-M8Y62_00890	CP097651.1	177532	178920	+	1389	3423
gene-M8Y62_00895	CP097651.1	178917	180758	+	1842	2764
gene-M8Y62_00905	CP097651.1	181003	181488	+	486	521
gene-M8Y62_00910	CP097651.1	181531	182787	-	1257	728
gene-M8Y62_00915	CP097651.1	182958	184991	-	2034	938
gene-M8Y62_00920	CP097651.1	185306	186124	+	819	3116
gene-M8Y62_00925	CP097651.1	186163	187341	-	1179	549
gene-M8Y62_00935	CP097651.1	188733	190274	-	1542	74
gene-M8Y62_00940	CP097651.1	190339	191334	-	996	66
gene-M8Y62_00945	CP097651.1	191840	193162	+	1323	494
gene-M8Y62_00950	CP097651.1	193255	194709	+	1455	183
gene-M8Y62_00955	CP097651.1	194878	195249	+	372	75
gene-M8Y62_00960	CP097651.1	195281	195727	+	447	64
gene-M8Y62_00965	CP097651.1	195754	196749	-	996	175
gene-M8Y62_00970	CP097651.1	196929	197228	+	300	576
gene-M8Y62_00975	CP097651.1	197356	198267	+	912	1876
gene-M8Y62_00980	CP097651.1	198277	200346	+	2070	3642
gene-M8Y62_00985	CP097651.1	200673	200825	+	153	217
gene-M8Y62_00990	CP097651.1	201126	202745	+	1620	1835
gene-M8Y62_00995	CP097651.1	202843	203055	-	213	179658
gene-M8Y62_01000	CP097651.1	203308	203598	-	291	2982
gene-M8Y62_01005	CP097651.1	203844	205199	-	1356	260
gene-M8Y62_01010	CP097651.1	205640	206350	+	711	2908
gene-M8Y62_01015	CP097651.1	206459	207430	-	972	1069
gene-M8Y62_01020	CP097651.1	207455	208735	-	1281	1517
gene-M8Y62_01025	CP097651.1	208840	209775	-	936	912
gene-M8Y62_01030	CP097651.1	209779	210528	-	750	356
gene-M8Y62_01035	CP097651.1	210640	211656	-	1017	237
gene-M8Y62_01040	CP097651.1	211760	212422	-	663	449
gene-M8Y62_01045	CP097651.1	212590	214920	+	2331	701
gene-M8Y62_01050	CP097651.1	214889	215329	-	441	109
gene-M8Y62_01055	CP097651.1	215307	215888	-	582	375
gene-M8Y62_01060	CP097651.1	216094	216675	+	582	251
gene-M8Y62_01065	CP097651.1	216917	218122	+	1206	128
gene-M8Y62_01070	CP097651.1	218365	220038	+	1674	4023
gene-M8Y62_01075	CP097651.1	220230	221624	+	1395	532
gene-M8Y62_01080	CP097651.1	221744	221820	+	77	57
gene-M8Y62_01090	CP097651.1	223983	225590	+	1608	3418
gene-M8Y62_01095	CP097651.1	225725	226744	+	1020	327
gene-M8Y62_01100	CP097651.1	226754	227656	+	903	312
gene-M8Y62_01105	CP097651.1	227667	228650	+	984	823
gene-M8Y62_01110	CP097651.1	228647	229660	+	1014	662
gene-M8Y62_01115	CP097651.1	229679	229858	+	180	23
gene-M8Y62_01120	CP097651.1	230176	230715	+	540	300
gene-M8Y62_01130	CP097651.1	231529	233640	+	2112	713
gene-M8Y62_01135	CP097651.1	233637	236072	+	2436	926
gene-M8Y62_01140	CP097651.1	236069	240121	+	4053	1323
gene-M8Y62_01145	CP097651.1	240121	240597	+	477	220
gene-M8Y62_01150	CP097651.1	240609	241610	+	1002	653
gene-M8Y62_01155	CP097651.1	241718	243397	-	1680	674
gene-M8Y62_01160	CP097651.1	243394	243591	-	198	13
gene-M8Y62_01165	CP097651.1	243591	245144	-	1554	578
gene-M8Y62_01170	CP097651.1	245313	245501	+	189	108
gene-M8Y62_01175	CP097651.1	245513	246244	+	732	540
gene-M8Y62_01180	CP097651.1	246241	248859	+	2619	2162
gene-M8Y62_01185	CP097651.1	248870	251215	+	2346	2625
gene-M8Y62_01190	CP097651.1	251219	252328	+	1110	1647
gene-M8Y62_01195	CP097651.1	252310	255789	+	3480	4162
gene-M8Y62_01200	CP097651.1	256032	258038	+	2007	1295
gene-M8Y62_01205	CP097651.1	258195	259481	+	1287	3245
gene-M8Y62_01210	CP097651.1	259701	261203	+	1503	2930
gene-M8Y62_01215	CP097651.1	261258	262187	-	930	444
gene-M8Y62_01220	CP097651.1	262382	264433	+	2052	512
gene-M8Y62_01225	CP097651.1	264471	265793	-	1323	290
gene-M8Y62_01230	CP097651.1	266065	267096	-	1032	874
gene-M8Y62_01235	CP097651.1	267203	268102	-	900	231
gene-M8Y62_01240	CP097651.1	268222	268980	+	759	66
gene-M8Y62_01245	CP097651.1	269015	269548	-	534	141
gene-M8Y62_01250	CP097651.1	269615	271267	-	1653	625
gene-M8Y62_01255	CP097651.1	271507	272655	-	1149	293
gene-M8Y62_01260	CP097651.1	272782	273405	+	624	211
gene-M8Y62_01265	CP097651.1	273459	274811	-	1353	4158
gene-M8Y62_01270	CP097651.1	274884	275726	-	843	1521
gene-M8Y62_01275	CP097651.1	275920	277191	+	1272	83
gene-M8Y62_01280	CP097651.1	277374	279416	+	2043	2596
gene-M8Y62_01285	CP097651.1	279424	280176	+	753	469
gene-M8Y62_01290	CP097651.1	280304	281752	-	1449	2376
gene-M8Y62_01295	CP097651.1	282033	282470	-	438	25208
gene-M8Y62_01300	CP097651.1	282853	283188	+	336	918
gene-M8Y62_01305	CP097651.1	283244	284740	-	1497	2110
gene-M8Y62_01310	CP097651.1	284970	286163	+	1194	990
gene-M8Y62_01315	CP097651.1	286203	287216	-	1014	295
gene-M8Y62_01320	CP097651.1	287623	287982	+	360	144
gene-M8Y62_01325	CP097651.1	288010	288411	-	402	165
gene-M8Y62_01330	CP097651.1	288399	289190	-	792	380
gene-M8Y62_01335	CP097651.1	289187	289951	-	765	809
gene-M8Y62_01340	CP097651.1	289951	290784	-	834	934
gene-M8Y62_01345	CP097651.1	290781	291725	-	945	565
gene-M8Y62_01350	CP097651.1	291725	293293	-	1569	1690
gene-M8Y62_01355	CP097651.1	293432	294292	-	861	162
gene-M8Y62_01360	CP097651.1	294390	294896	+	507	324
gene-M8Y62_01365	CP097651.1	295293	296432	+	1140	520
gene-M8Y62_01370	CP097651.1	296434	297417	+	984	290
gene-M8Y62_01375	CP097651.1	297414	299399	+	1986	693
gene-M8Y62_01380	CP097651.1	299396	300298	+	903	204
gene-M8Y62_01385	CP097651.1	300298	301953	+	1656	1026
gene-M8Y62_01390	CP097651.1	301950	302288	+	339	66
gene-M8Y62_01395	CP097651.1	302288	302668	+	381	58
gene-M8Y62_01400	CP097651.1	302665	303714	-	1050	182
gene-M8Y62_01405	CP097651.1	303848	305068	+	1221	627
gene-M8Y62_01410	CP097651.1	305069	305626	-	558	5480
gene-M8Y62_01415	CP097651.1	305700	306365	-	666	216
gene-M8Y62_01420	CP097651.1	306572	306817	+	246	265
gene-M8Y62_01425	CP097651.1	306921	309131	-	2211	1904
gene-M8Y62_01430	CP097651.1	309210	309836	-	627	880
gene-M8Y62_01435	CP097651.1	309987	310337	+	351	402
gene-M8Y62_01440	CP097651.1	310351	310626	-	276	185
gene-M8Y62_01445	CP097651.1	310616	311212	-	597	898
gene-M8Y62_01450	CP097651.1	311395	312918	+	1524	11955
gene-M8Y62_01455	CP097651.1	312921	313589	+	669	2088
gene-M8Y62_01460	CP097651.1	313582	314637	+	1056	2764
gene-M8Y62_01465	CP097651.1	314907	315761	+	855	37541
gene-M8Y62_01470	CP097651.1	315814	317337	-	1524	801
gene-M8Y62_01475	CP097651.1	317456	318721	+	1266	115
gene-M8Y62_01480	CP097651.1	318869	320113	+	1245	108
gene-M8Y62_01485	CP097651.1	320371	321474	+	1104	338
gene-M8Y62_01490	CP097651.1	321867	322250	-	384	117
gene-M8Y62_01495	CP097651.1	322674	323783	+	1110	83
gene-M8Y62_01500	CP097651.1	323845	324771	+	927	29
gene-M8Y62_01505	CP097651.1	324768	326045	+	1278	33
gene-M8Y62_01510	CP097651.1	326042	326809	+	768	50
gene-M8Y62_01515	CP097651.1	326811	327524	+	714	41
gene-M8Y62_01520	CP097651.1	327688	327909	+	222	24
gene-M8Y62_01525	CP097651.1	327906	328274	+	369	30
gene-M8Y62_01530	CP097651.1	328547	329863	+	1317	116
gene-M8Y62_01535	CP097651.1	329970	330857	+	888	37
gene-M8Y62_01540	CP097651.1	330854	331699	+	846	9
gene-M8Y62_01545	CP097651.1	331701	332771	+	1071	72
gene-M8Y62_01550	CP097651.1	332768	333508	+	741	340
gene-M8Y62_01555	CP097651.1	333532	333852	-	321	1316
gene-M8Y62_01560	CP097651.1	333976	335721	+	1746	519
gene-M8Y62_01565	CP097651.1	335811	336299	-	489	240
gene-M8Y62_01570	CP097651.1	336527	337180	-	654	86
gene-M8Y62_01575	CP097651.1	337445	338482	+	1038	766
gene-M8Y62_01580	CP097651.1	338604	339299	+	696	319
gene-M8Y62_01585	CP097651.1	339413	340408	+	996	2337
gene-M8Y62_01590	CP097651.1	340589	341119	+	531	264
gene-M8Y62_01595	CP097651.1	341119	342459	+	1341	505
gene-M8Y62_01600	CP097651.1	342456	342818	-	363	25
gene-M8Y62_01605	CP097651.1	342922	344028	+	1107	1607
gene-M8Y62_01610	CP097651.1	344267	346453	+	2187	4300
gene-M8Y62_01615	CP097651.1	346450	348426	+	1977	4505
gene-M8Y62_01620	CP097651.1	348507	349802	+	1296	5670
gene-M8Y62_01625	CP097651.1	349802	351235	+	1434	4164
gene-M8Y62_01630	CP097651.1	351253	353700	+	2448	5575
gene-M8Y62_01635	CP097651.1	353790	355298	-	1509	1665
gene-M8Y62_01640	CP097651.1	355503	355832	+	330	452
gene-M8Y62_01645	CP097651.1	355883	356713	+	831	503
gene-M8Y62_01650	CP097651.1	356763	357521	+	759	595
gene-M8Y62_01655	CP097651.1	357537	360242	-	2706	3875
gene-M8Y62_01660	CP097651.1	360867	363257	+	2391	8198
gene-M8Y62_01665	CP097651.1	363268	365361	+	2094	8718
gene-M8Y62_01670	CP097651.1	365464	366780	-	1317	312
gene-M8Y62_01675	CP097651.1	367117	367692	-	576	1472
gene-M8Y62_01680	CP097651.1	367751	368425	-	675	82
gene-M8Y62_01685	CP097651.1	368464	369237	+	774	175
gene-M8Y62_01690	CP097651.1	369358	369627	+	270	1173
gene-M8Y62_01695	CP097651.1	369716	369955	-	240	409
gene-M8Y62_01700	CP097651.1	369965	372283	-	2319	1781
gene-M8Y62_01705	CP097651.1	372312	372539	-	228	337
gene-M8Y62_01710	CP097651.1	372951	375281	-	2331	1939
gene-M8Y62_01715	CP097651.1	375382	375855	-	474	308
gene-M8Y62_01720	CP097651.1	376083	376802	+	720	1428
gene-M8Y62_01725	CP097651.1	376799	378154	+	1356	1195
gene-M8Y62_01730	CP097651.1	378232	379854	-	1623	9267
gene-M8Y62_01735	CP097651.1	380215	381099	-	885	776
gene-M8Y62_01740	CP097651.1	381118	381519	-	402	470
gene-M8Y62_01745	CP097651.1	381516	382199	-	684	633
gene-M8Y62_01750	CP097651.1	382260	384389	-	2130	2397
gene-M8Y62_01755	CP097651.1	384710	385270	+	561	1197
gene-M8Y62_01760	CP097651.1	385324	387888	-	2565	1528
gene-M8Y62_01765	CP097651.1	388007	388807	+	801	281
gene-M8Y62_01770	CP097651.1	388791	389324	+	534	40
gene-M8Y62_01775	CP097651.1	389314	389742	+	429	34
gene-M8Y62_01780	CP097651.1	389732	390115	+	384	32
gene-M8Y62_01785	CP097651.1	390048	391292	+	1245	280
gene-M8Y62_01790	CP097651.1	391563	392084	+	522	5488
gene-M8Y62_01795	CP097651.1	392140	393234	+	1095	3983
gene-M8Y62_01800	CP097651.1	393319	394605	+	1287	4493
gene-M8Y62_01805	CP097651.1	394684	395511	+	828	1105
gene-M8Y62_01810	CP097651.1	395529	396206	+	678	1452
gene-M8Y62_01815	CP097651.1	396199	396960	+	762	995
gene-M8Y62_01820	CP097651.1	396953	397957	+	1005	2501
gene-M8Y62_01825	CP097651.1	398030	399403	-	1374	1139
gene-M8Y62_01830	CP097651.1	399557	399883	-	327	31
gene-M8Y62_01835	CP097651.1	399880	402423	-	2544	222
gene-M8Y62_01840	CP097651.1	402662	403984	+	1323	232
gene-M8Y62_01845	CP097651.1	403981	405168	-	1188	307
gene-M8Y62_01850	CP097651.1	405445	406014	+	570	3112
gene-M8Y62_01855	CP097651.1	406121	406288	+	168	126
gene-M8Y62_01860	CP097651.1	406278	406880	+	603	219
gene-M8Y62_01865	CP097651.1	406913	407476	+	564	152
gene-M8Y62_01870	CP097651.1	407567	408787	+	1221	436
gene-M8Y62_01875	CP097651.1	408777	410855	-	2079	668
gene-M8Y62_01880	CP097651.1	410907	411539	-	633	16213
gene-M8Y62_01885	CP097651.1	411846	412250	+	405	2306
gene-M8Y62_01890	CP097651.1	412305	413174	-	870	912
gene-M8Y62_01895	CP097651.1	413211	413429	-	219	102
gene-M8Y62_01900	CP097651.1	413426	414385	-	960	597
gene-M8Y62_01905	CP097651.1	414652	416556	-	1905	843
gene-M8Y62_01910	CP097651.1	416730	417293	+	564	2562
gene-M8Y62_01915	CP097651.1	417280	419085	+	1806	2255
gene-M8Y62_01920	CP097651.1	419097	419297	+	201	486
gene-M8Y62_01925	CP097651.1	419391	419978	+	588	15996
gene-M8Y62_01930	CP097651.1	420037	420255	-	219	109
gene-M8Y62_01935	CP097651.1	420478	421308	+	831	21498
gene-M8Y62_01940	CP097651.1	421477	422199	+	723	1135
gene-M8Y62_01945	CP097651.1	422199	422585	+	387	150
gene-M8Y62_01950	CP097651.1	422585	422944	+	360	171
gene-M8Y62_01955	CP097651.1	422952	423239	+	288	729
gene-M8Y62_01960	CP097651.1	423364	423738	+	375	7491
gene-M8Y62_01965	CP097651.1	423835	424305	+	471	9922
gene-M8Y62_01970	CP097651.1	424402	426516	+	2115	53560
gene-M8Y62_01975	CP097651.1	426586	427770	+	1185	67079
gene-M8Y62_01980	CP097651.1	427951	428145	+	195	161
gene-M8Y62_01985	CP097651.1	428219	428695	+	477	602
gene-M8Y62_01990	CP097651.1	428679	429164	-	486	510
gene-M8Y62_01995	CP097651.1	429548	429859	+	312	9743
gene-M8Y62_02000	CP097651.1	429892	430521	+	630	12673
gene-M8Y62_02005	CP097651.1	430532	431137	+	606	10107
gene-M8Y62_02010	CP097651.1	431134	431436	+	303	5391
gene-M8Y62_02015	CP097651.1	431454	432275	+	822	12727
gene-M8Y62_02020	CP097651.1	432292	432570	+	279	8030
gene-M8Y62_02025	CP097651.1	432585	432917	+	333	8609
gene-M8Y62_02030	CP097651.1	432935	433633	+	699	12230
gene-M8Y62_02035	CP097651.1	433646	434056	+	411	11968
gene-M8Y62_02040	CP097651.1	434056	434247	+	192	2895
gene-M8Y62_02045	CP097651.1	434247	434501	+	255	3180
gene-M8Y62_02050	CP097651.1	434667	435038	+	372	14685
gene-M8Y62_02055	CP097651.1	435049	435363	+	315	11407
gene-M8Y62_02060	CP097651.1	435378	435917	+	540	12099
gene-M8Y62_02065	CP097651.1	435932	436237	+	306	13490
gene-M8Y62_02070	CP097651.1	436271	436663	+	393	16723
gene-M8Y62_02075	CP097651.1	436676	437209	+	534	20362
gene-M8Y62_02080	CP097651.1	437219	437572	+	354	8371
gene-M8Y62_02085	CP097651.1	437587	438090	+	504	20670
gene-M8Y62_02090	CP097651.1	438094	438273	+	180	1900
gene-M8Y62_02095	CP097651.1	438277	438711	+	435	45963
gene-M8Y62_02100	CP097651.1	438719	440050	+	1332	75018
gene-M8Y62_02105	CP097651.1	440084	440200	+	117	9464
gene-M8Y62_02110	CP097651.1	440347	440703	+	357	11721
gene-M8Y62_02115	CP097651.1	440720	441109	+	390	15791
gene-M8Y62_02120	CP097651.1	441143	441763	+	621	28479
gene-M8Y62_02125	CP097651.1	441789	442778	+	990	46700
gene-M8Y62_02130	CP097651.1	442819	443205	+	387	14648
gene-M8Y62_02135	CP097651.1	443314	443682	+	369	1123
gene-M8Y62_02140	CP097651.1	443685	444110	+	426	345
gene-M8Y62_02145	CP097651.1	444168	444446	+	279	35
gene-M8Y62_02150	CP097651.1	444382	444795	-	414	1364
gene-M8Y62_02155	CP097651.1	444936	446312	-	1377	2180
gene-M8Y62_02160	CP097651.1	446326	447621	-	1296	1932
gene-M8Y62_02165	CP097651.1	447674	448621	-	948	3046
gene-M8Y62_02170	CP097651.1	448636	449145	-	510	5291
gene-M8Y62_02175	CP097651.1	449274	450398	+	1125	663
gene-M8Y62_02180	CP097651.1	450370	450843	+	474	7267
gene-M8Y62_02185	CP097651.1	450870	451412	+	543	3386
