# Program:featureCounts v2.0.8; Command:"featureCounts" "-T" "4" "-p" "-B" "-C" "--countReadPairs" "-t" "gene" "-g" "locus_tag" "-a" "reference/annotation/NK01067.gff" "-o" "results/counts/gene_counts.txt" "results/alignment/SRR35308233.sorted.bam" "results/alignment/SRR35308234.sorted.bam" "results/alignment/SRR35308235.sorted.bam" "results/alignment/SRR35308236.sorted.bam" "results/alignment/SRR35308237.sorted.bam" "results/alignment/SRR35308238.sorted.bam" "results/alignment/SRR35308239.sorted.bam" "results/alignment/SRR35308240.sorted.bam" "results/alignment/SRR35308241.sorted.bam" "results/alignment/SRR35308242.sorted.bam" "results/alignment/SRR35308243.sorted.bam" "results/alignment/SRR35308244.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/alignment/SRR35308233.sorted.bam	results/alignment/SRR35308234.sorted.bam	results/alignment/SRR35308235.sorted.bam	results/alignment/SRR35308236.sorted.bam	results/alignment/SRR35308237.sorted.bam	results/alignment/SRR35308238.sorted.bam	results/alignment/SRR35308239.sorted.bam	results/alignment/SRR35308240.sorted.bam	results/alignment/SRR35308241.sorted.bam	results/alignment/SRR35308242.sorted.bam	results/alignment/SRR35308243.sorted.bam	results/alignment/SRR35308244.sorted.bam
M8Y62_00075	CP097651.1	16591	17004	+	414	504	411	259	104	97	122	1380	1029	1078	96	85	45
M8Y62_00080	CP097651.1	17121	17549	+	429	145	107	80	50	46	58	811	545	592	57	51	19
M8Y62_00085	CP097651.1	17686	18510	+	825	176	198	146	174	196	221	488	385	346	241	253	301
M8Y62_00090	CP097651.1	18612	20273	+	1662	2496	2414	2146	2005	2254	1985	5632	4114	4365	2391	2560	2289
M8Y62_00095	CP097651.1	20265	20987	-	723	130	98	128	46	57	51	336	256	187	73	84	58
M8Y62_00100	CP097651.1	21286	22908	+	1623	164	140	165	90	69	76	256	186	124	59	78	94
M8Y62_00105	CP097651.1	22905	24227	+	1323	145	168	174	169	152	160	554	348	253	142	153	122
M8Y62_00110	CP097651.1	24329	24676	+	348	30	31	43	13	15	24	240	132	90	13	13	14
M8Y62_00115	CP097651.1	24666	25028	+	363	26	43	35	39	48	44	402	242	149	54	54	68
M8Y62_00120	CP097651.1	25103	25525	+	423	252	272	226	195	225	256	891	536	496	186	205	294
M8Y62_00125	CP097651.1	25529	26857	-	1329	162	210	247	59	89	86	4921	2778	1442	44	70	38
M8Y62_00130	CP097651.1	26874	28211	-	1338	65	96	97	21	25	23	2859	1421	695	24	28	17
M8Y62_00135	CP097651.1	28303	28437	+	135	3	3	1	1	5	1	7	5	1	1	2	0
M8Y62_00140	CP097651.1	28437	29360	+	924	113	114	111	38	47	37	550	387	259	41	37	21
M8Y62_00145	CP097651.1	29520	30704	-	1185	352	413	394	117	151	128	1778	1335	1075	177	167	59
M8Y62_00150	CP097651.1	30880	31713	-	834	88	105	92	44	45	55	203	165	133	63	55	32
M8Y62_00155	CP097651.1	31782	32228	-	447	180	210	164	62	91	73	185	184	147	36	47	30
M8Y62_00160	CP097651.1	32319	32438	-	120	670	676	542	308	237	329	429	314	304	251	276	242
M8Y62_00165	CP097651.1	32891	33058	-	168	47	74	48	11	10	18	47	43	37	14	20	7
M8Y62_00170	CP097651.1	33071	33166	+	96	281	268	281	187	183	225	485	386	302	122	163	131
M8Y62_00175	CP097651.1	33271	34959	+	1689	604	675	670	461	423	492	1905	1429	1210	349	528	563
M8Y62_00180	CP097651.1	34963	35250	+	288	185	167	200	151	141	110	347	260	268	199	241	365
M8Y62_00185	CP097651.1	35401	35994	+	594	77	67	57	8	10	5	151	72	79	7	11	3
M8Y62_00190	CP097651.1	36012	37493	+	1482	50	56	46	20	32	31	115	107	73	13	8	5
M8Y62_00195	CP097651.1	37505	38833	+	1329	29	39	27	16	12	7	77	61	46	7	9	5
M8Y62_00200	CP097651.1	38979	40370	+	1392	37	37	33	16	24	17	105	67	58	7	17	9
M8Y62_00205	CP097651.1	40507	40959	+	453	166	211	196	212	276	208	445	313	294	234	285	226
M8Y62_00210	CP097651.1	41089	41412	-	324	54	63	44	60	58	36	125	78	62	55	74	39
M8Y62_00215	CP097651.1	41396	41755	-	360	47	44	45	92	95	76	144	77	75	140	133	65
M8Y62_00220	CP097651.1	41967	43160	+	1194	112	115	171	60	58	86	160	121	97	52	38	8
M8Y62_00225	CP097651.1	43157	43966	-	810	44	29	23	24	18	24	96	82	47	15	20	4
M8Y62_00230	CP097651.1	43976	45079	-	1104	17	31	46	15	19	24	80	59	40	12	19	10
M8Y62_00235	CP097651.1	45221	45940	+	720	45	57	74	42	32	39	163	105	99	32	35	18
M8Y62_00240	CP097651.1	46119	47132	+	1014	11	7	12	3	4	3	35	27	10	3	6	1
M8Y62_00245	CP097651.1	47138	48250	+	1113	16	15	13	8	13	14	35	35	24	5	7	5
M8Y62_00250	CP097651.1	48250	49110	+	861	12	7	10	3	10	7	21	15	15	4	6	2
M8Y62_00255	CP097651.1	49113	49910	+	798	9	6	7	6	5	5	21	9	9	3	8	2
M8Y62_00260	CP097651.1	50230	51609	-	1380	76	68	52	35	51	55	143	76	79	29	44	28
M8Y62_00265	CP097651.1	51754	52056	-	303	0	0	0	1	3	1	1	3	3	1	3	1
M8Y62_00270	CP097651.1	52154	53476	-	1323	16	14	28	16	16	19	79	44	38	15	19	4
M8Y62_00275	CP097651.1	53488	53802	-	315	5	3	1	3	4	4	15	10	10	3	4	2
M8Y62_00280	CP097651.1	54096	55037	+	942	97	96	85	67	58	46	502	339	379	108	102	66
M8Y62_00285	CP097651.1	55249	56619	+	1371	36	19	29	24	28	17	93	62	36	17	19	11
M8Y62_00290	CP097651.1	56633	57895	+	1263	340	309	294	358	350	340	674	427	440	428	525	384
M8Y62_00295	CP097651.1	57892	59118	-	1227	76	91	94	107	110	104	255	195	155	81	93	66
M8Y62_00300	CP097651.1	59246	59986	+	741	23	40	24	18	28	14	70	53	44	17	21	8
M8Y62_00305	CP097651.1	59983	60696	+	714	14	27	19	12	15	7	25	30	18	6	12	8
M8Y62_00310	CP097651.1	60697	61782	+	1086	20	11	21	9	12	12	57	40	39	13	16	5
M8Y62_00315	CP097651.1	61785	62648	+	864	67	77	89	35	38	40	218	133	109	39	31	29
M8Y62_00320	CP097651.1	62652	62927	-	276	244	244	272	631	698	632	534	403	451	782	847	679
M8Y62_00325	CP097651.1	63049	63987	-	939	114	121	143	127	134	140	363	257	255	101	88	75
M8Y62_00330	CP097651.1	64103	65536	-	1434	101	116	85	47	56	58	197	169	157	56	55	80
M8Y62_00335	CP097651.1	65561	66463	-	903	123	127	108	69	84	83	284	197	196	71	91	88
M8Y62_00340	CP097651.1	66626	67789	-	1164	37	37	35	17	17	18	69	68	47	17	16	6
M8Y62_00345	CP097651.1	67835	69199	-	1365	60	44	62	24	20	17	113	63	62	18	11	12
M8Y62_00350	CP097651.1	69203	72310	-	3108	34	29	32	9	10	7	61	51	34	6	14	5
M8Y62_00355	CP097651.1	72310	73434	-	1125	16	15	12	12	9	16	46	29	20	6	6	9
M8Y62_00360	CP097651.1	73641	73763	+	123	0	2	0	0	3	0	2	0	1	0	3	0
M8Y62_00365	CP097651.1	73723	73839	-	117	0	0	0	0	0	0	0	1	0	1	0	0
M8Y62_00370	CP097651.1	73814	74230	+	417	41	46	38	59	54	45	226	140	162	60	69	62
M8Y62_00375	CP097651.1	74609	75256	-	648	40	42	40	33	43	57	1205	837	1004	65	98	42
M8Y62_00380	CP097651.1	75337	76830	+	1494	36	46	57	18	36	41	1785	1660	1683	62	84	27
M8Y62_00385	CP097651.1	76827	77798	-	972	106	112	103	232	249	270	567	482	483	302	285	233
M8Y62_00390	CP097651.1	77837	78463	+	627	10	8	10	10	8	6	32	50	31	6	9	2
M8Y62_00395	CP097651.1	78466	78936	+	471	7	16	21	16	17	15	75	66	43	14	16	5
M8Y62_00400	CP097651.1	78957	79493	-	537	11	20	26	24	31	34	57	64	54	14	19	8
M8Y62_00405	CP097651.1	79610	80515	+	906	70	57	51	43	38	48	110	97	69	27	25	25
M8Y62_00410	CP097651.1	80644	81453	+	810	102	103	134	147	141	140	417	287	260	144	130	82
M8Y62_00415	CP097651.1	81478	82332	+	855	38	48	39	51	41	41	152	103	106	37	43	24
M8Y62_00420	CP097651.1	82322	82882	-	561	40	50	40	95	115	122	134	111	108	118	136	132
M8Y62_00425	CP097651.1	83048	83827	+	780	29	33	26	11	19	25	124	108	69	8	18	12
M8Y62_00430	CP097651.1	83849	84802	+	954	61	68	62	63	70	93	209	164	146	65	58	58
M8Y62_00435	CP097651.1	84799	85848	-	1050	49	64	79	153	138	179	134	124	97	135	189	74
M8Y62_00440	CP097651.1	86221	86919	+	699	15	24	20	9	9	7	73	32	39	18	17	14
M8Y62_00445	CP097651.1	86971	87261	-	291	5	4	4	2	5	3	11	11	7	1	2	7
M8Y62_00450	CP097651.1	87263	88270	-	1008	24	33	26	30	20	24	69	46	46	17	29	25
M8Y62_00455	CP097651.1	88383	88850	-	468	22	32	25	16	27	24	55	35	47	34	24	12
M8Y62_00465	CP097651.1	89405	90778	-	1374	49	48	49	102	115	103	118	101	74	96	136	120
M8Y62_00470	CP097651.1	90784	91959	-	1176	152	182	177	206	280	252	325	181	203	254	283	268
M8Y62_00475	CP097651.1	92121	92215	-	95	684	774	761	331	339	387	864	596	665	216	295	379
M8Y62_00480	CP097651.1	92508	93902	+	1395	16	13	16	8	6	6	56	29	28	2	7	10
M8Y62_00485	CP097651.1	93915	96233	+	2319	93	78	81	31	39	30	223	134	109	25	25	25
M8Y62_00490	CP097651.1	96389	97111	+	723	468	458	462	333	428	481	723	641	539	399	486	463
M8Y62_00495	CP097651.1	97302	98681	-	1380	65	76	82	55	40	49	189	145	110	60	75	55
M8Y62_00500	CP097651.1	98694	100253	-	1560	46	33	45	25	26	23	108	45	41	58	62	44
M8Y62_00505	CP097651.1	100499	102214	-	1716	170	186	214	271	281	296	676	485	517	176	228	274
M8Y62_00510	CP097651.1	102355	103746	-	1392	84	104	154	59	70	82	387	265	370	60	73	39
M8Y62_00515	CP097651.1	104031	105233	+	1203	609	587	584	1574	2099	2304	1608	1228	1240	1622	1920	4549
M8Y62_00520	CP097651.1	105348	106859	-	1512	1277	1186	1043	3089	3916	5822	11831	8047	5616	4832	5996	8696
M8Y62_00525	CP097651.1	106881	107732	-	852	623	427	441	2542	3718	4837	3307	2308	1709	4019	4069	5020
M8Y62_00530	CP097651.1	108175	108420	+	246	1050	1162	1156	1602	1945	1740	2192	1460	1680	2415	2571	2918
M8Y62_00535	CP097651.1	108572	109561	+	990	161	202	231	98	129	128	754	548	425	112	123	125
M8Y62_00540	CP097651.1	109724	110494	+	771	87	82	78	53	72	79	215	138	151	74	56	50
M8Y62_00545	CP097651.1	110559	111863	+	1305	62	67	58	32	44	49	181	116	93	50	39	43
M8Y62_00550	CP097651.1	111956	112723	-	768	3163	4190	3883	2095	2073	2258	10028	6955	5596	1487	1637	1231
M8Y62_00555	CP097651.1	112833	113435	-	603	172	213	254	225	215	190	713	540	509	211	248	135
M8Y62_00560	CP097651.1	113548	113976	+	429	143	129	113	120	156	117	267	234	220	171	154	142
M8Y62_00565	CP097651.1	113977	114723	-	747	350	360	341	585	686	703	951	668	693	892	890	1766
M8Y62_00570	CP097651.1	114874	115884	-	1011	282	354	241	188	195	236	361	276	281	123	171	204
M8Y62_00575	CP097651.1	115933	118014	-	2082	1016	1127	916	483	487	538	1445	1184	1143	232	280	265
M8Y62_00580	CP097651.1	118020	118709	-	690	307	373	351	135	146	184	648	459	453	80	81	47
M8Y62_00585	CP097651.1	118714	120834	-	2121	2118	2415	2274	1815	1804	1982	4820	3975	3512	1356	1364	659
M8Y62_00590	CP097651.1	120853	121128	-	276	1644	1750	1550	1148	1175	1119	3011	1938	1749	1162	1308	823
M8Y62_00595	CP097651.1	121183	121806	-	624	3186	3350	3284	1856	1913	1782	5370	3805	3089	909	924	566
M8Y62_00600	CP097651.1	122065	123741	+	1677	40	44	48	32	35	25	112	83	59	27	28	18
M8Y62_00605	CP097651.1	123747	124364	-	618	75	78	75	25	20	17	158	93	96	20	15	8
M8Y62_00610	CP097651.1	124640	125890	+	1251	125	120	98	170	176	142	436	362	415	181	222	168
M8Y62_00615	CP097651.1	125946	127004	-	1059	55	49	56	58	64	61	104	89	72	72	56	46
M8Y62_00620	CP097651.1	127007	127753	-	747	25	26	20	26	28	29	56	44	37	41	58	20
M8Y62_00625	CP097651.1	127936	128799	-	864	612	785	817	1148	1313	1220	1315	966	954	1231	1248	797
M8Y62_00630	CP097651.1	129300	131000	+	1701	9	6	6	7	4	4	18	14	12	11	11	8
M8Y62_00635	CP097651.1	131038	131169	-	132	2	0	0	0	1	0	1	0	0	1	1	1
M8Y62_00640	CP097651.1	131168	132055	+	888	12	4	1	3	6	4	9	6	7	5	10	2
M8Y62_00645	CP097651.1	132048	132965	+	918	9	10	15	8	12	10	19	13	11	15	10	6
M8Y62_00650	CP097651.1	132997	134091	+	1095	50	66	57	56	63	62	91	57	51	79	99	58
M8Y62_00655	CP097651.1	134188	134904	+	717	792	993	1086	462	473	565	1548	1129	1013	313	356	261
M8Y62_00660	CP097651.1	135015	135656	+	642	146	180	184	272	318	355	480	337	311	327	436	495
M8Y62_00665	CP097651.1	135692	136708	-	1017	78	82	69	63	53	57	433	256	181	110	109	53
M8Y62_00670	CP097651.1	136884	137480	-	597	68	96	68	42	41	47	194	158	130	67	77	41
M8Y62_00675	CP097651.1	137605	138063	-	459	154	177	179	107	150	148	512	367	370	144	147	93
M8Y62_00680	CP097651.1	138041	139255	-	1215	291	323	357	406	470	499	1057	687	793	422	439	234
M8Y62_00685	CP097651.1	139428	140093	+	666	1385	1523	1330	693	845	809	1748	1243	1216	863	878	814
M8Y62_00690	CP097651.1	140310	140546	+	237	8667	9261	8165	1898	2290	2730	9253	6466	6622	1625	1612	1711
M8Y62_00695	CP097651.1	140567	140734	+	168	975	926	837	444	611	658	1148	813	783	796	807	848
M8Y62_00700	CP097651.1	140870	141679	+	810	89	117	109	50	44	54	288	202	163	37	53	42
M8Y62_00705	CP097651.1	141868	142347	-	480	218	267	202	180	160	209	602	400	409	196	231	96
M8Y62_00710	CP097651.1	142344	143120	-	777	327	346	368	196	208	244	883	724	543	139	176	74
M8Y62_00715	CP097651.1	143120	144394	-	1275	744	822	809	320	402	396	1826	1422	1201	177	171	93
M8Y62_00720	CP097651.1	144486	145475	-	990	488	521	471	283	306	322	954	703	645	201	276	191
M8Y62_00725	CP097651.1	145505	146599	-	1095	230	254	218	74	93	107	502	388	345	78	90	86
M8Y62_00730	CP097651.1	146602	147729	-	1128	227	296	229	112	140	171	647	528	409	78	90	82
M8Y62_00735	CP097651.1	147726	148802	-	1077	337	400	419	267	309	294	1065	811	675	156	200	146
M8Y62_00740	CP097651.1	148914	149876	+	963	282	301	332	320	306	394	715	510	468	229	264	224
M8Y62_00745	CP097651.1	149895	150974	+	1080	214	266	240	173	236	257	469	305	267	305	301	175
M8Y62_00750	CP097651.1	151018	152187	-	1170	558	603	618	236	304	316	897	666	659	225	226	188
M8Y62_00755	CP097651.1	152165	153073	-	909	382	443	413	170	222	200	830	627	504	153	140	73
M8Y62_00760	CP097651.1	153073	154044	-	972	520	657	682	371	445	519	1720	1367	1032	301	325	161
M8Y62_00765	CP097651.1	154048	155106	-	1059	970	1260	1278	1194	1317	1243	2838	2146	1806	1022	1217	900
M8Y62_00770	CP097651.1	155116	156048	-	933	2475	2795	2758	2547	2596	2724	4413	3306	2750	2191	2376	1667
M8Y62_00775	CP097651.1	156262	157455	+	1194	718	897	923	762	901	900	4204	3076	2751	937	1021	1180
M8Y62_00780	CP097651.1	157468	158493	+	1026	1063	1427	1390	1280	1444	1412	6089	4370	4144	1344	1746	2225
M8Y62_00785	CP097651.1	158713	159450	+	738	225	242	234	152	131	139	666	495	431	96	112	102
M8Y62_00790	CP097651.1	159456	160403	-	948	241	313	257	141	127	169	726	572	426	84	106	89
M8Y62_00795	CP097651.1	160407	161678	-	1272	633	783	719	597	638	716	1752	1340	1053	551	600	342
M8Y62_00800	CP097651.1	161688	163232	-	1545	1502	2448	1722	337	382	338	8831	5273	3760	438	458	318
M8Y62_00805	CP097651.1	163478	163909	+	432	665	743	738	243	329	295	1292	940	767	258	260	216
M8Y62_00810	CP097651.1	164014	164265	+	252	356	397	333	215	217	260	717	509	488	261	278	260
M8Y62_00815	CP097651.1	164326	164793	+	468	1092	1204	1006	579	612	773	2489	1846	1689	463	638	883
M8Y62_00820	CP097651.1	164793	165812	+	1020	423	482	442	159	218	264	1469	1147	1081	212	263	337
M8Y62_00825	CP097651.1	165886	166707	+	822	376	395	379	221	225	272	1107	911	721	148	194	169
M8Y62_00830	CP097651.1	166789	167262	-	474	132	169	127	48	44	90	376	307	187	58	78	70
M8Y62_00835	CP097651.1	167355	168539	-	1185	231	230	187	298	356	595	2522	1490	1813	526	588	2684
M8Y62_00840	CP097651.1	168539	169312	-	774	75	78	73	46	88	171	686	446	504	128	120	673
M8Y62_00845	CP097651.1	169309	170964	-	1656	439	354	255	171	311	805	1851	1170	1235	431	386	2276
M8Y62_00850	CP097651.1	171250	171612	-	363	2799	3034	2719	836	972	944	2345	1659	1399	610	618	551
M8Y62_00855	CP097651.1	171885	172109	+	225	69	84	89	179	174	133	263	215	175	339	370	192
M8Y62_00860	CP097651.1	172098	172694	-	597	182	221	161	43	55	46	545	448	286	68	55	35
M8Y62_00865	CP097651.1	172694	173842	-	1149	757	794	806	371	355	371	1760	1402	1043	187	199	190
M8Y62_00870	CP097651.1	173943	175850	-	1908	537	592	690	335	302	331	1607	1231	859	280	311	289
M8Y62_00875	CP097651.1	176429	176572	+	144	19	24	28	28	24	32	52	33	25	42	39	15
M8Y62_00885	CP097651.1	176818	177426	+	609	148	151	153	228	187	192	261	225	174	147	248	136
M8Y62_00890	CP097651.1	177532	178920	+	1389	1724	1961	1856	328	349	302	2858	2293	1602	103	128	58
M8Y62_00895	CP097651.1	178917	180758	+	1842	1424	1654	1495	376	366	302	2465	1780	1383	227	274	93
M8Y62_00905	CP097651.1	181003	181488	+	486	276	319	299	82	65	69	472	366	351	52	65	34
M8Y62_00910	CP097651.1	181531	182787	-	1257	360	371	369	96	114	128	761	598	479	89	117	52
M8Y62_00915	CP097651.1	182958	184991	-	2034	465	580	395	102	124	101	567	453	424	80	95	70
M8Y62_00920	CP097651.1	185306	186124	+	819	1556	1789	1796	791	862	766	2757	1863	2097	513	692	642
M8Y62_00925	CP097651.1	186163	187341	-	1179	283	302	288	266	312	352	950	670	607	314	423	743
M8Y62_00935	CP097651.1	188733	190274	-	1542	38	45	45	33	46	43	171	72	75	53	52	36
M8Y62_00940	CP097651.1	190339	191334	-	996	33	27	40	26	39	47	49	39	30	37	26	41
M8Y62_00945	CP097651.1	191840	193162	+	1323	250	242	274	204	196	183	483	369	336	93	101	80
M8Y62_00950	CP097651.1	193255	194709	+	1455	85	124	140	112	95	100	273	210	166	59	80	34
M8Y62_00955	CP097651.1	194878	195249	+	372	40	32	45	46	40	36	95	52	55	49	41	43
M8Y62_00960	CP097651.1	195281	195727	+	447	35	28	35	25	21	21	52	41	31	14	23	9
M8Y62_00965	CP097651.1	195754	196749	-	996	89	67	88	57	49	58	155	109	90	61	54	48
M8Y62_00970	CP097651.1	196929	197228	+	300	287	276	253	276	291	191	441	252	337	300	334	347
M8Y62_00975	CP097651.1	197356	198267	+	912	952	1198	1179	481	460	502	2699	2019	1686	263	284	210
M8Y62_00980	CP097651.1	198277	200346	+	2070	1826	1988	1758	801	933	1117	3898	2974	2695	593	704	586
M8Y62_00985	CP097651.1	200673	200825	+	153	111	110	113	73	82	82	88	46	52	101	111	88
M8Y62_00990	CP097651.1	201126	202745	+	1620	885	852	656	222	219	233	1518	1114	962	298	311	218
M8Y62_00995	CP097651.1	202843	203055	-	213	91182	113224	97442	16759	19787	25064	103820	68678	50776	11289	11537	10267
M8Y62_01000	CP097651.1	203308	203598	-	291	1536	1535	1700	4493	4720	4533	1547	1208	1181	4499	4620	2231
M8Y62_01005	CP097651.1	203844	205199	-	1356	133	126	128	125	114	139	307	234	214	105	102	84
M8Y62_01010	CP097651.1	205640	206350	+	711	1453	1637	1455	1517	1738	1661	2859	1906	1975	1851	1925	1730
M8Y62_01015	CP097651.1	206459	207430	-	972	539	692	677	826	850	686	1001	691	554	548	541	189
M8Y62_01020	CP097651.1	207455	208735	-	1281	758	953	1050	2238	2352	1594	1493	1054	890	1608	1510	462
M8Y62_01025	CP097651.1	208840	209775	-	936	451	609	622	490	456	347	1070	689	521	261	270	135
M8Y62_01030	CP097651.1	209779	210528	-	750	182	231	237	96	113	108	483	288	301	89	64	102
M8Y62_01035	CP097651.1	210640	211656	-	1017	120	133	126	87	98	106	390	268	259	94	86	62
M8Y62_01040	CP097651.1	211760	212422	-	663	223	195	187	85	83	90	1067	744	777	115	123	147
M8Y62_01045	CP097651.1	212590	214920	+	2331	362	394	407	312	322	360	1450	987	885	217	258	224
M8Y62_01050	CP097651.1	214889	215329	-	441	71	66	84	37	27	36	176	136	108	16	19	27
M8Y62_01055	CP097651.1	215307	215888	-	582	216	191	200	217	286	278	525	377	389	354	378	440
M8Y62_01060	CP097651.1	216094	216675	+	582	139	167	179	155	168	186	317	295	187	269	291	150
M8Y62_01065	CP097651.1	216917	218122	+	1206	64	93	90	27	51	41	195	179	93	72	48	33
M8Y62_01070	CP097651.1	218365	220038	+	1674	2008	2177	1897	598	775	817	4115	3219	3050	839	708	464
M8Y62_01075	CP097651.1	220230	221624	+	1395	267	307	278	139	185	175	509	366	245	126	132	110
M8Y62_01080	CP097651.1	221744	221820	+	77	42	44	36	9	16	8	57	42	29	17	7	3
M8Y62_01090	CP097651.1	223983	225590	+	1608	1701	2591	3522	16841	14514	13374	8206	6504	4425	12335	13790	5694
M8Y62_01095	CP097651.1	225725	226744	+	1020	159	281	403	601	507	486	852	693	440	278	340	118
M8Y62_01100	CP097651.1	226754	227656	+	903	157	252	354	678	612	441	569	438	295	566	652	148
M8Y62_01105	CP097651.1	227667	228650	+	984	430	600	811	2257	1932	1293	1212	998	729	1484	1799	452
M8Y62_01110	CP097651.1	228647	229660	+	1014	351	531	646	2271	1943	1456	859	665	542	1094	1069	387
M8Y62_01115	CP097651.1	229679	229858	+	180	16	9	6	7	11	6	13	15	11	13	13	20
M8Y62_01120	CP097651.1	230176	230715	+	540	162	172	238	153	177	191	244	183	161	180	280	118
M8Y62_01130	CP097651.1	231529	233640	+	2112	373	495	455	354	365	434	479	357	285	291	382	232
M8Y62_01135	CP097651.1	233637	236072	+	2436	474	495	387	233	229	239	413	334	253	101	85	138
M8Y62_01140	CP097651.1	236069	240121	+	4053	681	704	684	464	511	586	550	404	336	364	363	220
M8Y62_01145	CP097651.1	240121	240597	+	477	132	115	114	124	169	166	153	100	99	142	189	88
M8Y62_01150	CP097651.1	240609	241610	+	1002	345	381	422	388	384	486	627	510	352	318	363	250
M8Y62_01155	CP097651.1	241718	243397	-	1680	342	479	484	470	544	463	766	651	437	392	477	292
M8Y62_01160	CP097651.1	243394	243591	-	198	13	15	24	12	21	21	37	37	20	16	9	4
M8Y62_01165	CP097651.1	243591	245144	-	1554	295	365	464	570	608	665	863	692	513	516	634	352
M8Y62_01170	CP097651.1	245313	245501	+	189	63	82	89	70	56	56	134	79	79	73	50	21
M8Y62_01175	CP097651.1	245513	246244	+	732	279	302	322	318	317	321	621	464	393	223	277	112
M8Y62_01180	CP097651.1	246241	248859	+	2619	1134	1388	1386	617	604	662	1766	1368	878	377	471	233
M8Y62_01185	CP097651.1	248870	251215	+	2346	1346	1720	1604	1138	1011	967	1587	1226	846	556	546	311
M8Y62_01190	CP097651.1	251219	252328	+	1110	825	913	905	435	382	450	824	637	480	161	191	87
M8Y62_01195	CP097651.1	252310	255789	+	3480	2108	2457	2102	1294	1329	1463	1892	1465	1289	661	838	294
M8Y62_01200	CP097651.1	256032	258038	+	2007	660	724	741	433	516	496	1456	1094	904	449	469	260
M8Y62_01205	CP097651.1	258195	259481	+	1287	1609	1161	888	1047	1383	2109	1900	1314	1593	1804	2161	5397
M8Y62_01210	CP097651.1	259701	261203	+	1503	1480	1716	1733	515	539	680	3745	2895	2677	771	910	522
M8Y62_01215	CP097651.1	261258	262187	-	930	210	224	182	107	133	150	1013	711	661	100	141	144
M8Y62_01220	CP097651.1	262382	264433	+	2052	255	279	300	362	414	459	677	534	355	427	515	241
M8Y62_01225	CP097651.1	264471	265793	-	1323	142	187	210	109	140	121	380	322	218	61	92	56
M8Y62_01230	CP097651.1	266065	267096	-	1032	438	483	588	726	718	873	1078	798	635	565	562	377
M8Y62_01235	CP097651.1	267203	268102	-	900	114	113	103	55	51	60	214	132	127	51	71	45
M8Y62_01240	CP097651.1	268222	268980	+	759	34	37	33	49	33	34	123	91	79	37	55	25
M8Y62_01245	CP097651.1	269015	269548	-	534	72	58	69	91	106	117	155	124	115	43	66	69
M8Y62_01250	CP097651.1	269615	271267	-	1653	315	374	438	616	539	613	873	706	539	364	393	218
